date,fear_greed_index,z_score_grade,category
2008-06-01,9.523809523809524,6.607142857142858,중립
2008-06-02,-43.75,3.71875,공포
2008-06-03,-17.24137931034483,5.6034482758620685,중립
2008-06-04,-28.57142857142857,4.857142857142858,공포
2008-06-05,-33.33333333333333,4.5,공포
2008-06-06,0.0,6.25,중립
2008-06-07,-14.285714285714285,5.714285714285714,중립
2008-06-08,7.6923076923076925,6.538461538461538,중립
2008-06-09,-93.10344827586206,0.431034482758621,극도의 공포
2008-06-10,-36.0,4.3,공포
2008-06-11,-18.181818181818183,5.568181818181818,중립
2008-06-12,-25.925925925925924,5.055555555555555,공포
2008-06-13,-75.60975609756098,1.524390243902439,극도의 공포
2008-06-14,-71.42857142857143,1.7857142857142856,극도의 공포
2008-06-15,-93.44262295081968,0.40983606557376984,극도의 공포
2008-06-16,-54.285714285714285,2.928571428571429,공포
2008-06-17,-41.935483870967744,3.854838709677419,공포
2008-06-18,-48.837209302325576,3.337209302325582,공포
2008-06-19,-70.73170731707317,1.8292682926829267,극도의 공포
2008-06-20,-62.16216216216216,2.364864864864865,극도의 공포
2008-06-21,-100.0,0.0,극도의 공포
2008-06-22,29.411764705882355,7.705882352941177,탐욕
2008-06-23,-42.857142857142854,3.7857142857142856,공포
2008-06-24,-35.13513513513514,4.364864864864865,공포
2008-06-25,-31.03448275862069,4.672413793103448,공포
2008-06-26,-77.77777777777779,1.3888888888888884,극도의 공포
2008-06-27,-17.647058823529413,5.588235294117647,중립
2008-06-28,-70.58823529411765,1.8382352941176467,극도의 공포
2008-06-29,9.523809523809524,6.607142857142858,중립
2008-06-30,-56.25,2.78125,공포
2008-07-01,-55.00000000000001,2.8749999999999996,공포
2008-07-02,-42.857142857142854,3.7857142857142856,공포
2008-07-03,-37.93103448275862,4.155172413793103,공포
2008-07-04,-58.139534883720934,2.63953488372093,공포
2008-07-05,-57.57575757575758,2.6818181818181817,공포
2008-07-06,0.0,6.25,중립
2008-07-07,-40.54054054054054,3.9594594594594597,공포
2008-07-08,-40.0,4.0,공포
2008-07-09,-46.15384615384615,3.5384615384615383,공포
2008-07-10,-41.17647058823529,3.9117647058823533,공포
2008-07-11,-48.38709677419355,3.3709677419354835,공포
2008-07-12,-55.55555555555556,2.833333333333333,공포
2008-07-13,-10.638297872340425,5.851063829787234,중립
2008-07-14,-41.66666666666667,3.8749999999999996,공포
2008-07-15,-53.333333333333336,3.0,공포
2008-07-16,-62.06896551724138,2.3706896551724137,극도의 공포
2008-07-17,5.555555555555555,6.458333333333333,중립
